 id, jobs, machines, opt, makespan, guaranteed_ratio, runtime_ms, approximation_alg, fptas_alg, shelves_alg, nb_big_jobs, nb_small_jobs
 1745065728922,790,1000,67.54612884521485,96.0,RATIO_10_7,7440,TwoApproximation,CompressionApproach,OhnesorgeApproach,630,160
 1745065738787,1478,1000,94.78786964416504,135.0,RATIO_10_7,8944,TwoApproximation,CompressionApproach,OhnesorgeApproach,973,506
 1745065750267,1105,1000,80.54434440612795,115.0,RATIO_10_7,8737,TwoApproximation,CompressionApproach,OhnesorgeApproach,823,282
 1745065761431,1696,1000,100.95784713745115,144.0,RATIO_10_7,8616,TwoApproximation,CompressionApproach,OhnesorgeApproach,990,706
 1745065772615,938,1000,74.22986193847656,106.0,RATIO_10_7,7411,TwoApproximation,CompressionApproach,OhnesorgeApproach,738,200
 1745065782470,1804,1000,107.35083564758301,153.0,RATIO_10_7,8262,TwoApproximation,CompressionApproach,OhnesorgeApproach,998,806
 1745065795070,980,1000,77.26932992553711,110.0,RATIO_10_7,8802,TwoApproximation,CompressionApproach,OhnesorgeApproach,770,210
 1745065806376,639,1000,60.04878265380859,85.0,RATIO_10_7,7095,TwoApproximation,CompressionApproach,OhnesorgeApproach,543,96
 1745065815884,1152,1000,82.92886639022825,118.0,RATIO_10_7,10742,TwoApproximation,CompressionApproach,OhnesorgeApproach,838,315
 1745065829083,1535,1000,95.19777252197267,135.0,RATIO_10_7,9969,TwoApproximation,CompressionApproach,OhnesorgeApproach,983,552
 1745065841718,681,1000,64.57570220947267,92.0,RATIO_10_7,6403,TwoApproximation,CompressionApproach,OhnesorgeApproach,571,111
 1745065850533,861,1000,71.42795623779298,102.0,RATIO_10_7,7177,TwoApproximation,CompressionApproach,OhnesorgeApproach,698,163
 1745065860119,1175,1000,83.24736811828615,118.0,RATIO_10_7,8454,TwoApproximation,CompressionApproach,OhnesorgeApproach,853,323
 1745065871027,554,1000,56.49693145751952,80.0,RATIO_10_7,5489,TwoApproximation,CompressionApproach,OhnesorgeApproach,511,43
 1745065879585,1677,1000,101.06140197753905,144.0,RATIO_10_7,8263,TwoApproximation,CompressionApproach,OhnesorgeApproach,1013,664
 1745065890471,563,1000,56.79804428100586,81.0,RATIO_10_7,5552,TwoApproximation,CompressionApproach,OhnesorgeApproach,500,63
 1745065898388,1507,1000,94.18690157318115,134.0,RATIO_10_7,11102,TwoApproximation,CompressionApproach,OhnesorgeApproach,969,539
 1745065911976,1479,1000,93.15462200737,133.0,RATIO_10_7,12523,TwoApproximation,CompressionApproach,OhnesorgeApproach,974,505
 1745065930466,626,1000,60.44897271728516,86.0,RATIO_10_7,6605,TwoApproximation,CompressionApproach,OhnesorgeApproach,538,88
 1745065939819,580,1000,56.54850988769531,80.0,RATIO_10_7,5601,TwoApproximation,CompressionApproach,OhnesorgeApproach,516,64
 1745065947837,1342,1000,88.11928717422484,125.0,RATIO_10_7,10774,TwoApproximation,CompressionApproach,OhnesorgeApproach,918,425
 1745065961086,1938,1000,116.85757606506348,166.0,RATIO_10_7,8184,TwoApproximation,CompressionApproach,OhnesorgeApproach,1001,937
 1745065971828,725,1000,66.35491040039062,94.0,RATIO_10_7,6337,TwoApproximation,CompressionApproach,OhnesorgeApproach,612,114
