 id, jobs, machines, opt, makespan, guaranteed_ratio, runtime_ms, approximation_alg, fptas_alg, shelves_alg, nb_big_jobs, nb_small_jobs
 1745072887460,1000,1556,60.63217307240308,86.0,RATIO_10_7,12627,TwoApproximation,CompressionApproach,OhnesorgeApproach,852,149
 1745072902601,1000,1190,69.36556402895631,99.0,RATIO_10_7,10436,TwoApproximation,CompressionApproach,OhnesorgeApproach,814,187
 1745072915489,1000,1387,65.05312767798898,92.0,RATIO_10_7,15164,TwoApproximation,CompressionApproach,OhnesorgeApproach,841,160
 1745072933158,1000,1120,71.35141604287284,101.0,RATIO_10_7,8747,TwoApproximation,CompressionApproach,OhnesorgeApproach,796,205
 1745072944836,1000,1839,55.59559365003377,79.0,RATIO_10_7,15525,TwoApproximation,CompressionApproach,OhnesorgeApproach,904,96
 1745072962847,1000,1703,58.06885604723999,82.0,RATIO_10_7,17252,TwoApproximation,CompressionApproach,OhnesorgeApproach,866,134
 1745072982543,1000,960,79.4439962387085,113.0,RATIO_10_7,6946,TwoApproximation,CompressionApproach,OhnesorgeApproach,770,230
 1745072991947,1000,1962,55.03058015024261,78.0,RATIO_10_7,25642,TwoApproximation,CompressionApproach,OhnesorgeApproach,900,100
 1745073021459,1000,1162,72.09162484265852,102.0,RATIO_10_7,12751,TwoApproximation,CompressionApproach,OhnesorgeApproach,797,203
 1745073036956,1000,1590,60.743457635843534,86.0,RATIO_10_7,14004,TwoApproximation,CompressionApproach,OhnesorgeApproach,853,148
 1745073053546,1000,1874,55.03691202039525,78.0,RATIO_10_7,18247,TwoApproximation,CompressionApproach,OhnesorgeApproach,886,114
 1745073075004,1000,1803,56.36932938375277,80.0,RATIO_10_7,17090,TwoApproximation,CompressionApproach,OhnesorgeApproach,882,119
 1745073094605,1000,1160,71.95272308546922,102.0,RATIO_10_7,11379,TwoApproximation,CompressionApproach,OhnesorgeApproach,811,189
 1745073108436,1000,1073,74.15172788081385,105.0,RATIO_10_7,10908,TwoApproximation,CompressionApproach,OhnesorgeApproach,784,216
 1745073121986,1000,1387,64.59739654254982,92.0,RATIO_10_7,12102,TwoApproximation,CompressionApproach,OhnesorgeApproach,847,153
 1745073137308,1000,1118,72.26625141901279,103.0,RATIO_10_7,10575,TwoApproximation,CompressionApproach,OhnesorgeApproach,778,222
 1745073150337,1000,1939,54.831288739539346,78.0,RATIO_10_7,17392,TwoApproximation,CompressionApproach,OhnesorgeApproach,889,112
 1745073170388,1000,1056,74.61640658703716,106.0,RATIO_10_7,11754,TwoApproximation,CompressionApproach,OhnesorgeApproach,781,219
 1745073185235,1000,1450,62.19607596561826,88.0,RATIO_10_7,12747,TwoApproximation,CompressionApproach,OhnesorgeApproach,866,134
 1745073200488,1000,1463,63.88263949057213,91.0,RATIO_10_7,12112,TwoApproximation,CompressionApproach,OhnesorgeApproach,842,159
 1745073215109,1000,1416,65.036550283432,92.0,RATIO_10_7,15098,TwoApproximation,CompressionApproach,OhnesorgeApproach,855,145
 1745073232737,1000,958,78.65121760995503,112.0,RATIO_10_7,8466,TwoApproximation,CompressionApproach,OhnesorgeApproach,741,259
 1745073243753,1000,1728,56.55177187919617,80.0,RATIO_10_7,14494,TwoApproximation,CompressionApproach,OhnesorgeApproach,882,119
 1745073262899,1000,1498,61.863903122050104,88.0,RATIO_10_7,11363,TwoApproximation,CompressionApproach,OhnesorgeApproach,862,138
 1745073276739,1000,1511,61.00197508917354,87.0,RATIO_10_7,14064,TwoApproximation,CompressionApproach,OhnesorgeApproach,879,121
 1745073293309,1000,1322,67.3726532975051,96.0,RATIO_10_7,11373,TwoApproximation,CompressionApproach,OhnesorgeApproach,843,157
