InstanceID,"_id","_index","_score","_type",achivedMakespan,approximation,bigJobs,estimatedOptimum,fptas,jobs,machines,milliseconds,shelvesAlgo,smallJobs
"1,677,348,232,845",nOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",54,TwoApproximation,36,"37.15",DoubleCompressionApproach,36,60,"14,211",KilianApproach,0
"1,677,348,247,067",negsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",55,TwoApproximation,34,"37.193",DoubleCompressionApproach,34,54,"7,842",KilianApproach,0
"1,677,348,254,920",nugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",40,TwoApproximation,30,"27.638",DoubleCompressionApproach,30,60,"8,898",KilianApproach,0
"1,677,348,264,906","n-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",68,TwoApproximation,40,"46.172",DoubleCompressionApproach,42,56,"6,822",KilianApproach,2
"1,677,348,271,740",oOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",65,TwoApproximation,43,"43.444",DoubleCompressionApproach,43,60,"8,915",KilianApproach,0
"1,677,348,280,664",oegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",49,TwoApproximation,35,"34.397",DoubleCompressionApproach,35,60,"9,223",KilianApproach,0
"1,677,348,289,898",ougsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",77,TwoApproximation,44,"51.893",DoubleCompressionApproach,45,55,"9,620",KilianApproach,1
"1,677,348,299,532","o-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",59,TwoApproximation,37,"39.776",DoubleCompressionApproach,37,54,"6,846",KilianApproach,0
"1,677,348,306,391",pOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",63,TwoApproximation,40,"42.566",DoubleCompressionApproach,45,60,"8,901",KilianApproach,5
"1,677,348,315,306",pegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",59,TwoApproximation,44,"38.727",DoubleCompressionApproach,44,61,"8,947",KilianApproach,0
"1,677,348,324,259",pugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",49,TwoApproximation,35,"33.872",DoubleCompressionApproach,35,64,"8,678",KilianApproach,0
"1,677,348,332,948","p-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",69,TwoApproximation,38,"45.943",DoubleCompressionApproach,40,54,"6,694",KilianApproach,2
"1,677,348,339,665",qOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",55,TwoApproximation,39,"37.175",DoubleCompressionApproach,39,58,"9,556",KilianApproach,0
"1,677,348,350,409",qegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",75,TwoApproximation,45,"50.416",DoubleCompressionApproach,47,58,"9,666",KilianApproach,2
"1,677,348,360,088",qugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",45,TwoApproximation,31,"30.233",DoubleCompressionApproach,31,66,"12,964",KilianApproach,0
"1,677,348,373,062","q-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",56,TwoApproximation,30,"38.573",DoubleCompressionApproach,30,51,"4,585",KilianApproach,0
"1,677,348,437,658",rOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",44,TwoApproximation,33,"29.433",DoubleCompressionApproach,33,58,"7,587",KilianApproach,0
"1,677,348,445,257",regsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",61,TwoApproximation,38,"40.726",DoubleCompressionApproach,38,52,"4,603",KilianApproach,0
"1,677,348,449,871",rugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",42,TwoApproximation,30,"28.414",DoubleCompressionApproach,30,60,"8,455",KilianApproach,0
"1,677,348,458,332","r-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",47,TwoApproximation,30,"31.738",DoubleCompressionApproach,30,55,"7,234",KilianApproach,0
"1,677,348,465,575",sOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",57,TwoApproximation,35,"38.328",DoubleCompressionApproach,35,58,"7,764",KilianApproach,0
"1,677,348,473,354",segsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",56,TwoApproximation,42,"39.342",DoubleCompressionApproach,42,65,"9,745",KilianApproach,0
"1,677,348,483,123",sugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",47,TwoApproximation,31,"31.608",DoubleCompressionApproach,31,58,"8,223",KilianApproach,0
"1,677,348,492,434","s-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",77,TwoApproximation,41,"51.534",DoubleCompressionApproach,47,53,"5,695",KilianApproach,6
"1,677,348,498,141",tOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",51,TwoApproximation,39,"33.407",DoubleCompressionApproach,39,64,"11,983",KilianApproach,0
"1,677,348,510,135",tegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",69,TwoApproximation,38,"47.226",DoubleCompressionApproach,42,51,"5,933",KilianApproach,4
"1,677,348,516,081",tugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",59,TwoApproximation,46,"39.602",DoubleCompressionApproach,46,67,"13,831",KilianApproach,0
"1,677,348,529,925","t-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",73,TwoApproximation,48,"49.086",DoubleCompressionApproach,49,64,"11,157",KilianApproach,1
"1,677,348,541,097",uOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",71,TwoApproximation,43,"47.3",DoubleCompressionApproach,46,61,"10,481",KilianApproach,3
"1,677,348,551,591",uegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",54,TwoApproximation,37,"36.161",DoubleCompressionApproach,37,59,"9,043",KilianApproach,0
"1,677,348,560,646",uugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",83,TwoApproximation,44,"55.595",DoubleCompressionApproach,48,54,"6,085",KilianApproach,4
"1,677,348,566,744","u-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",69,TwoApproximation,41,"46.412",DoubleCompressionApproach,45,54,"6,681",KilianApproach,4
"1,677,348,573,438",vOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",63,TwoApproximation,36,"42.39",DoubleCompressionApproach,37,52,"5,092",KilianApproach,1
"1,677,348,579,696",vegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",59,TwoApproximation,43,"39.155",DoubleCompressionApproach,43,64,"8,836",KilianApproach,0
"1,677,348,588,543",vugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",51,TwoApproximation,32,"35.11",DoubleCompressionApproach,32,51,"5,014",KilianApproach,0
"1,677,348,593,567","v-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",76,TwoApproximation,45,"51.291",DoubleCompressionApproach,46,57,"6,871",KilianApproach,1
"1,677,348,600,452",wOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",52,TwoApproximation,37,"35.389",DoubleCompressionApproach,37,65,"10,015",KilianApproach,0
"1,677,348,670,479",wegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",40,TwoApproximation,30,"27.213",DoubleCompressionApproach,30,65,"11,722",KilianApproach,0
"1,677,348,682,215",wugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",55,TwoApproximation,37,"36.813",DoubleCompressionApproach,37,57,"6,249",KilianApproach,0
"1,677,348,688,475","w-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",46,TwoApproximation,38,"31.614",DoubleCompressionApproach,38,66,"12,985",KilianApproach,0
"1,677,348,701,471",xOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",40,TwoApproximation,30,"26.784",DoubleCompressionApproach,30,65,"9,840",KilianApproach,0
"1,677,348,711,321",xegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",69,TwoApproximation,37,"46.279",DoubleCompressionApproach,39,50,"4,182",KilianApproach,2
"1,677,348,715,515",xugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",53,TwoApproximation,43,"36.93",DoubleCompressionApproach,43,69,"19,815",KilianApproach,0
"1,677,348,736,609","x-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",61,TwoApproximation,42,"40.16",DoubleCompressionApproach,42,58,"8,287",KilianApproach,0
"1,677,348,744,908",yOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",59,TwoApproximation,38,"39.651",DoubleCompressionApproach,38,54,"6,081",KilianApproach,0
"1,677,348,751,000",yegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",37,TwoApproximation,31,"25.451",DoubleCompressionApproach,31,63,"11,398",KilianApproach,0
"1,677,348,762,408",yugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",47,TwoApproximation,33,"31.901",DoubleCompressionApproach,33,58,"9,583",KilianApproach,0
"1,677,348,772,002","y-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",64,TwoApproximation,47,"42.834",DoubleCompressionApproach,48,66,"11,866",KilianApproach,1
"1,677,348,783,881",zOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",49,TwoApproximation,37,"33.986",DoubleCompressionApproach,37,69,"16,030",KilianApproach,0
